A0A1L8I0M0	GeneID:735223	XB-GENE-478088	tbx1.L
Q32NI9	GeneID:735223	XB-GENE-478088	tbx1.L
A0A1L8GXP6	GeneID:379624	XB-GENE-478125	csnk1a1.L
O57528	GeneID:379624	XB-GENE-478125	csnk1a1.L
P67963	GeneID:379624	XB-GENE-478125	csnk1a1.L
P70065	GeneID:379624	XB-GENE-478125	csnk1a1.L
P79789	GeneID:379624	XB-GENE-478125	csnk1a1.L
P79790	GeneID:379624	XB-GENE-478125	csnk1a1.L
Q5D074	GeneID:379624	XB-GENE-478125	csnk1a1.L
P17634	GeneID:380331	XB-GENE-478359	fgg.L
Q7SZ13	GeneID:380331	XB-GENE-478359	fgg.L
Q6DCY3	GeneID:108710583	XB-GENE-478396	spic.L
A0A1L8EKW1	GeneID:733446	XB-GENE-478530	hoxb2.S
A0A1L8FA90	GeneID:399186	XB-GENE-478643	dact1.L
Q8QG92	GeneID:399186	XB-GENE-478643	dact1.L
Q91615	GeneID:399299	XB-GENE-478676	irs1.L
Q7ZYP7	GeneID:398453	XB-GENE-478732	impdh2.S
A0A1L8F6H0	GeneID:380158	XB-GENE-478756	mapkap1.L
Q7ZYH1	GeneID:380158	XB-GENE-478756	mapkap1.L
Q9IAK3	GeneID:373739	XB-GENE-478765	six3.L
Q7ZTR1	GeneID:380021	XB-GENE-478775	fga.S
Q7ZYK5	GeneID:380041	XB-GENE-478863	mycn.S
Q91741	GeneID:394275	XB-GENE-478885	c4a.L
O57382	GeneID:399469	XB-GENE-478934	tll2.L
Q801Q9	GeneID:379899	XB-GENE-479031	nkx3-1.L
A0A1L8GUG3	GeneID:379883	XB-GENE-479040	rap1b.L
Q7ZXH7	GeneID:379883	XB-GENE-479040	rap1b.L
Q6GPK6	GeneID:398131	XB-GENE-479050	smurf1.L
Q9PUN2	GeneID:398131	XB-GENE-479050	smurf1.L
Q91787	GeneID:399439	XB-GENE-479068	psmb8.L
Q640I3	GeneID:494665	XB-GENE-479097	rab14.S
Q6NRR1	GeneID:398223	XB-GENE-479158	app.L
B7ZS79	GeneID:399093	XB-GENE-479195	bmp1.S
P98070	GeneID:399093	XB-GENE-479195	bmp1.S
Q91925	GeneID:399093	XB-GENE-479195	bmp1.S
Q6GNS5	GeneID:779370	XB-GENE-479259	fgfr3.L
Q98SL6	GeneID:399175	XB-GENE-479283	eya1.L
Q8UUZ4	GeneID:399406	XB-GENE-479385	hras.L
P70048	GeneID:399456	XB-GENE-479433	ar.L
P79937	GeneID:399305	XB-GENE-479443	meis1.S
P79938	GeneID:399305	XB-GENE-479443	meis1.S
P10666	GeneID:445821	XB-GENE-479500	rps6ka1.L
Q6GR32	GeneID:445821	XB-GENE-479500	rps6ka1.L
Q6DFT8	GeneID:446331	XB-GENE-479516	bcap31.L
Q4VUI3	GeneID:734224	XB-GENE-479542	aicda.L
A0A1L8GYJ1	GeneID:380490	XB-GENE-479764	frs2.L
Q7ZWM2	GeneID:380490	XB-GENE-479764	frs2.L
Q7ZX67	GeneID:380407	XB-GENE-479955	rap2a.S
Q9W745	GeneID:399145	XB-GENE-480022	nr2f1.L
Q5PPL6	GeneID:496107	XB-GENE-480233	ppara.L
Q66L04	GeneID:447094	XB-GENE-480282	rab8b.L
A1L2L2	GeneID:378573	XB-GENE-480298	slc13a2.S
O42261	GeneID:399365	XB-GENE-480490	irx3.L
Q32NJ5	GeneID:399365	XB-GENE-480490	irx3.L
Q7SZB8	GeneID:379410	XB-GENE-480519	tnnc1.S
A0A1L8EWU6	GeneID:378550	XB-GENE-480548	dpepe.L
Q5PQ56	GeneID:378550	XB-GENE-480548	dpepe.L
Q91642	GeneID:378550	XB-GENE-480548	dpepe.L
Q9W5Z7	GeneID:380394	XB-GENE-480612	ldha.S
Q7ZY69	GeneID:380249	XB-GENE-480674	pes1.S
A0A1L8FA73	GeneID:398185	XB-GENE-480721	six1.L
Q9I8H0	GeneID:398185	XB-GENE-480721	six1.L
Q7ZXI1	GeneID:373787	XB-GENE-480741	hoxa1.L
Q7T0T7	GeneID:379873	XB-GENE-480822	nr2f6.L
A0A1L8I1P0	GeneID:399455	XB-GENE-480859	apc.L
P70039	GeneID:399455	XB-GENE-480859	apc.L
P79934	GeneID:399455	XB-GENE-480859	apc.L
AAQ67212	GeneID:399214	XB-GENE-480869	sox8.L
Q6VVD7	GeneID:399214	XB-GENE-480869	sox8.L
Q7ZX57	GeneID:380435	XB-GENE-481129	srsf2.L
Q8AVD1	GeneID:398111	XB-GENE-481302	id2.L
Q9PWJ5	GeneID:398111	XB-GENE-481302	id2.L
Q9YGL0	GeneID:398111	XB-GENE-481302	id2.L
O57475	GeneID:399369	XB-GENE-481311	smad6.L
Q5EAV2	GeneID:677862	XB-GENE-481423	gdf1.S
P09534.1	GeneID:677862	XB-GENE-481423	gdf1.S
Q6DDS3	GeneID:446624	XB-GENE-481527	vezf1.S
O73613	GeneID:399459	XB-GENE-481534	map3k7.L
Q10833	GeneID:398056	XB-GENE-481563	mmp13l.S
Q641D8	GeneID:447732	XB-GENE-481582	arrb1.S
Q09005	GeneID:380364	XB-GENE-481619	stmn1.S
Q7SZ34	GeneID:380364	XB-GENE-481619	stmn1.S
AAP36720	GeneID:443560	XB-GENE-481684	tap2.L
AAP36721	GeneID:443560	XB-GENE-481684	tap2.L
Q6XXY8	GeneID:443560	XB-GENE-481684	tap2.L
A0A1L8HP89	GeneID:399397	XB-GENE-481770	tle4.S
O42478	GeneID:399397	XB-GENE-481770	tle4.S
Q6AX22	GeneID:399397	XB-GENE-481770	tle4.S
Q9PSX1	GeneID:399397	XB-GENE-481770	tle4.S
Q68KG0	GeneID:446295	XB-GENE-481788	gdf5.L
A0A1L8G1N2	GeneID:378780	XB-GENE-481833	bmp2.S
P25703	GeneID:378780	XB-GENE-481833	bmp2.S
Q498L8	GeneID:378780	XB-GENE-481833	bmp2.S
AAO31611	GeneID:398689	XB-GENE-481843	darmin.L
A0A1L8FAH5	GeneID:399258	XB-GENE-481920	psen1.L
O12976	GeneID:399258	XB-GENE-481920	psen1.L
Q6DD65	GeneID:399258	XB-GENE-481920	psen1.L
O93377	GeneID:399131	XB-GENE-482006	rbbp4.L
Q6AZU0	GeneID:399131	XB-GENE-482006	rbbp4.L
Q7ZYB0	GeneID:380227	XB-GENE-482015	rab5a.L
Q9IAU5	GeneID:398164	XB-GENE-482081	szl.L
Q6DD20	GeneID:446781	XB-GENE-482137	ptgs2.S
